Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Protein,OMIM,Chromosome,p/q,Gene,Subcellular,AA,Class
,albumin,103600,4,q,ALB,extracellular,609,
,alpha-synuclein,163890,4,q,SNCA,intracellular,140,
,amyloid precursor protein,104760,21,q,APP,transmembrane,770,
,angiotensin I,106150,1,q,AGT,extracellular,10,
,angiotensin II,106150,1,q,AGT,extracellular,8,
,angiotensinogen,106150,1,q,AGT,extracellular,485,
,ankyrin,182900,8,p,ANK1,intracellular,1883,
,apolipoprotein E,107741,19,q,APOE,extracellular,317,
,BCL-2,151430,18,q,BCL2,intracellular,239,
,bradykinin,113503,14,q,BDKRB1,extracellular,9,
,BRD2,,,,,,,Epigenetic
,BRD3,,,,,,,Epigenetic
,BRD4,,,,,,,Epigenetic
,calmodulin,114180,14,q,CALM1,intracellular,149,
,caspase 3,600636,4,q,CASP3,intracellular,277,
,CD38 antigen (ADP-ribosyl cyclase),107270,4,p,CD38,transmembrane,300,
,CFTR,602421,7,q,CFTR,,1480,Ion Channel
,collagen alpha-1 (I),120150,17,q,COL1A1,extracellular,1464,
,complement 3,120700,19,p,C3,extracellular,1663,
,cyclin-dependent kinase 4,123829,12,q,CDK4,intracellular,303,
,cytochrome C,123970,7,p,CYCS,intracellular,104,
,DHFR,126060,5,q,DHFR,intracellular,187,
,dystrophin,300377,X,p,DMD,intracellular,3685,Structural
,EGFR,131550,7,p,EGFR,transmembrane,1210,Signaling
,endothelin-1,131240,6,p,EDN,extracellular,212,Signaling
,erythropoietin,133170,7,q,EPO,extracellular,193,Signaling
,ferritin,134790,19,q,FTL/FTH1,intracellular,175,
,fibronectin,135600,2,q,FN1,extracellular,2391,
,Filamin A,300017,X,q,FLNA,intracellular,2647,
,FLT3,,,,,,,
,FMRP,309550,X,q,FMR1,intracellular,632,
,frataxin,606829,9,q,FXN,intracellular,210,
,glutathione peroxidase 1,138320,3,p,GPX1,intracellular,203,
,hemoglobin subunit beta,141900,11,p,HBB,intracellular,146,
,HMGB1,163905,13,q,HMGB1,,,
,HSP70,140560,6,p,HSPA1A,intracellular,641,
,huntingtin,613004,4,p,HTT,extracellular,3144,
,IL-6,147620,7,p,IL6,extracellular,212,
,insulin,176730,11,p,INS,extracellular,51,
,JAK1,147795,1,p,JAK1,transmembrane,1150,
,JAK2,147796,9,p,JAK2,transmembrane,1132,
,JAK3,600173,19,p,JAK3,transmembrane,1123,
,lamin A/C,150330,1,q,LMNA,intracellular,664,
,leptin,164160,7,q,LEP,extracellular,167,
,myelin basic protein,159430,18,q,MBP,intracellular,170,
,myosin heavy chain,160760,14,q,MYH7,intracellular,1939,
,myostatin (GDF-8),601788,2,q,MSTN,extracellular,375,
,NF-kappaB,164011,11,q,RELA,intracellular,551,
,NF-kappaB,164011,4,q,NFKB1,intracellular,969,
,p38,600289,6,p,MAPK14,intracellular,360,
,p53,191170,17,p,TP53,intracellular,393,
,PANK1,606482,10,q,PANK1,intracellular,598,
,PANK2,,,,,,,
,PANK3,,,,,,,
,PARP1,,,,,,,
,perforin,170280,10,q,PRF1,intracellular,555,
,proopiomelanocortin,176830,2,q,POMC,extracellular,267,
,sigma 1 receptor,,,,,endoplasmic reticulum,223,
,sirtuin 1,604479,10,q,SIRT1,intracellular,747,
,spectrin,182860,1,q,SPTA1,intracellular,2413,
,spectrin,182860,14,q,SPTB,intracellular,2437,
,tau,157140,17,q,MAPT,intracellular,758,
,TDP-43 (TAR DNA-binding protein 43),,,,,,414,
,TGF-beta,190180,19,q,TGFB1,extracellular,390,
,titin,188840,2,q,TTN,intracellular,34350,
,TNF-alpha,191160,6,p,TNF,extracellular,233,
,tropomyosin,191010,15,q,TPM1,intracellular,284,
,troponin T,191041,19,q,TNNT1,intracellular,278,
,VEGF,192240,6,p,VEGFA,extracellular,232,
